candidate_id,score,rationale,stratum
CAND_0000056,0.2,"IIT Bombay AI M.E. is a strong education signal, but with only 1.3 years of experience entirely at TCS doing frontend/Node.js web development and no production ML or IR work, the candidate is far too junior and wrongly specialised; skill durations (e.g. 53 months image classification on a 15-month career) indicate keyword inflation.",random
CAND_0000212,0.0,"Entire 13-year career spans non-technical roles (Customer Support, HR Manager, Business Analyst) at fictional companies (Wayne Enterprises, Pied Piper) with zero engineering, ML, or IR work; only AI exposure is recent online courses.",low_behavioral
CAND_0000232,0.0,Career is entirely in marketing/operations/SEO content writing at fictional Initech with no engineering or ML experience; flagged as honeypot and AI curiosity is limited to casual ChatGPT use.,honeypot_flagged
CAND_0000273,0.4,"5.8 years of applied ML at product companies (BYJU's recommendation systems, Yellow.ai forecasting with LightGBM/Prophet) shows real production ML experience, but no evidence of IR-specific work — no embeddings, vector search, FAISS, hybrid retrieval, or ranking evaluation metrics (NDCG/MAP) in any role.",top_retrieval_bm25
CAND_0000311,0.0,"Project Manager at Wipro (IT services) with prior Civil Engineer and Content Writer roles at fictional companies (Initech); career descriptions are entirely mismatched with titles and contain zero ML, IR, or engineering-relevant work.",random
CAND_0000406,0.2,Only 1.9 years experience doing full-stack web development at fictional Initech; skills list LLMs and Embeddings as 'advanced' with 47 and 27 months duration on a 22-month career — clear keyword inflation — and there is no actual production ML or IR work in the career description.,title_match_strong
CAND_0000417,0.2,"7.8 years of solid software engineering (Java/Spring Boot microservices, AWS/Kubernetes, React) across product and IT-services companies, but career contains no ML, NLP, retrieval, or ranking work whatsoever; self-described as AI/ML self-learner only.",title_mismatch
CAND_0000426,0.4,"IIT Roorkee (tier_1) CS M.Tech and Razorpay (product company) experience are positive signals, and FAISS is listed as top advanced skill; however, all career descriptions show QA automation and Android mobile development with no actual retrieval, ranking, or ML production work visible.",title_match_strong
CAND_0000427,0.2,"2.6 years entirely at Wipro (IT services) doing test automation/QA with a DevOps title; feature engineering is listed as an advanced skill but the career shows no ML or IR work, and the profile lacks any production AI/ML engineering depth.",random
CAND_0000491,0.0,"14-year career entirely in non-technical roles (Marketing Manager, Accountant, HR Manager, Project Manager) at fictional companies (Pied Piper, Stark Industries); matches the non-fit baseline exactly with zero engineering or ML relevance.",title_mismatch
CAND_0000530,0.2,"Career is entirely frontend/web development (.NET, React, Node.js) with no production ML, embeddings, retrieval, or ranking experience; MLOps listed as advanced skill is unsupported by any described work, and one employer (Initech) is a fictional company.",random
CAND_0000545,0.2,"Career spans TCS (IT services) QA automation and full-stack web work at Globex/Stark Industries (Stark Industries is fictional); skills are SEO, Salesforce, and beginner-level web tools with zero IR, embeddings, or ranking experience.",top_retrieval_dense
CAND_0000600,0.2,"Only 3.6 years experience in full-stack web development at Hooli (fictional company, Pied Piper universe), with Python/MLOps skills listed but no evidence of production embeddings, retrieval, or ranking systems in described work.",top_retrieval_dense
CAND_0000688,0.2,"Only 1.3 years experience in a QA role at CRED; despite IIT Bangalore education and LlamaIndex/LoRA skills listed (durations of 25-30 months vastly exceed their 15-month career), there is no production ML deployment or IR/ranking experience whatsoever.",title_match_strong
CAND_0000772,0.0,"Mechanical Engineer title at Wayne Enterprises (fictional company), summary describes a marketing manager background, career description is business analyst/consulting work, and skills are SQL/Excel/Illustrator with no engineering or ML substance.",title_match_strong
CAND_0000791,0.2,"Entire career is QA automation at Capgemini (IT services, explicit negative signal) plus Java backend at Acme Corp; strong IISc Bangalore M.Sc ML education is a positive, but there is no production ML, embeddings, retrieval, or ranking experience in any role.",random
CAND_0000805,0.2,"Entire career is at Accenture and Infosys (both IT-services firms, explicit disqualifier per JD); Learning to Rank and Feature Engineering listed as advanced skills appear inflated given all career descriptions are frontend/cloud infrastructure work with no IR or ranking context.",title_match_strong
CAND_0000879,0.0,"Non-technical background (Operations/Marketing Manager) with severe profile inconsistency — career descriptions cycle through accounting, mechanical engineering, and brand design roles at multiple fictional companies (Initech, Hooli), indicating a likely honeypot candidate with no ML or engineering substance.",random
CAND_0000900,0.2,"Only 1.8 years experience, entirely at Tech Mahindra (IT services) in a DevOps/cloud role; IIT Bombay M.Sc Data Science education is a strong positive, but Embeddings and LoRA listed as advanced skills with 33-36 month durations are impossible given the 21-month career, indicating keyword inflation.",consulting_only
CAND_0000959,0.0,"Marketing Manager at Dunder Mifflin (fictional company, explicit negative signal) whose entire career is SEO content writing; no engineering or ML experience of any kind despite technical-sounding skill listings.",title_mismatch
CAND_0001008,0.0,"Current title is Marketing Manager with only 1.6 years of experience at Stark Industries (fictional company), and all career and skill evidence points to non-engineering work with zero ML, IR, or search exposure.",random
CAND_0001098,0.0,"Career spans civil engineering, operations management, sales at TCS, and accounting — no AI/ML or IR engineering work whatsoever — and the primary employer is Wayne Enterprises, a fictional-company honeypot.",random
CAND_0001201,0.2,"Entire career is in content writing, operations management, and sales with no production ML or IR work; the advanced Image Classification skill (54 months) is inconsistent with the non-technical roles and likely keyword inflation.",random
CAND_0001218,0.6,"IIT Guwahati graduate with 6.4 years including production recommendation and semantic-search work at product companies (Nykaa, Paytm, Dream11), advanced pgvector (37 months) and Semantic Search (48 months) skills, though lacks explicit NDCG/hybrid-retrieval evaluation experience and has one IT-services stint at Tech Mahindra.",top_retrieval_bm25
CAND_0001291,0.2,"Five-year backend/cloud career (Java, Kafka, AWS) with only self-taught AI exposure via online courses and a small RAG side project, and one role at Initech (fictional company), with no production ML or retrieval systems shipped.",title_match_strong
