candidate_id,score,rationale,stratum
CAND_0000001,0.0,"Worked at Dunder Mifflin (honeypot company), which is an automatic disqualifier regardless of skills.",sample
CAND_0000002,0.0,"Entire career at Infosys and Wipro (explicit disqualifier), with a non-technical operations/project management background and no real ML production experience.",sample
CAND_0000003,0.4,"Entire career at TCS (explicit disqualifier for whole-career consultancy), despite having relevant RAG/Pinecone/hybrid retrieval skills that would otherwise score higher.",sample
CAND_0000004,0.2,"Entire career at Accenture and Capgemini (explicit disqualifier), and core work is tabular/classification analytics rather than retrieval or ranking systems despite skills listing embeddings/retrieval.",sample
CAND_0000005,1.0,"Expert sentence-transformers and FAISS with production deployment at Meesho (dense retrieval, BM25 hybrid, P@10 optimization), LLM fine-tuning, 9+ years at product companies, matching every must-have requirement.",sample
CAND_0000006,0.2,"Pure research career at Microsoft Research India and IISc with explicitly no production deployments, directly triggering the pure research career disqualifier.",sample
CAND_0000007,0.6,"Hands-on production experience with embeddings, FAISS, and RAG at two AI startups, but only 3.2 years and lacks evidence of large-scale retrieval or evaluation frameworks like NDCG/MRR.",sample
CAND_0000008,0.2,"Entire career at Cognizant (explicit disqualifier), and current role is solution architecture/consulting with minimal hands-on coding rather than production ML engineering.",sample
CAND_0000009,1.0,"Expert FAISS and Elasticsearch with production dense+hybrid retrieval at Swiggy and 50k QPS embedding serving at InMobi, strong sentence-transformers and ranking systems experience at product companies across 6.8 years.",sample
CAND_0000010,0.2,"Primarily a data engineering profile (ETL, Spark, Airflow) with only 7 months of side-project vector DB/RAG exposure, insufficient depth in core retrieval and ranking requirements.",sample
CAND_0000011,0.0,"Worked at Pied Piper (fictional company), automatic disqualifier scoring 0.0.",sample
CAND_0000012,0.0,"Worked at Stark Industries (fictional company), automatic disqualifier scoring 0.0.",sample
CAND_0000013,0.0,"Worked at Globex Inc (fictional company), automatic disqualifier scoring 0.0.",sample
CAND_0000014,0.0,"Worked at Dunder Mifflin (fictional company), automatic disqualifier scoring 0.0.",sample
CAND_0000015,0.2,"Has Qdrant (9 months) and PyTorch exposure, but 5.4 years are mostly cloud/DevOps/mobile with no production embeddings or retrieval engineering depth.",sample
CAND_0000016,0.2,"Entire substantive career at TCS and Infosys (disqualifying firms), with skills limited to SQL, Figma, Photoshop, and accounting — no embeddings, vector DB, or Python ML experience.",sample
CAND_0000017,0.2,"Career split across Wipro, Infosys (disqualifying firms), and Initech (fictional), with accounting/customer-support background and no embeddings, retrieval, or ML engineering skills.",sample
CAND_0000018,0.0,"Worked at Pied Piper and Initech (fictional companies), automatic disqualifiers scoring 0.0.",sample
CAND_0000019,0.0,"Entire career at Wayne Enterprises and Pied Piper (fictional companies), automatic disqualifiers scoring 0.0.",sample
